track__artists__name,track__name,track__preview_url
Dire Straits,Money For Nothing,https://p.scdn.co/mp3-preview/40e7c5b82506af65cfeb5bf6767fa96cab6bdf7b?cid=774b29d4f13844c495f206cafdad9c86
Dire Straits,Brothers In Arms,https://p.scdn.co/mp3-preview/6e6d99c43f980653536d0a1b16029b611a22da32?cid=774b29d4f13844c495f206cafdad9c86
Survivor,Eye of the Tiger,https://p.scdn.co/mp3-preview/9e37f230afd37042e49f3d144c3b94e0b39ef8ba?cid=774b29d4f13844c495f206cafdad9c86
Michael Jackson,Beat It - Single Version,https://p.scdn.co/mp3-preview/386acb48d5b2f6c205200062b6ce158c4ba52647?cid=774b29d4f13844c495f206cafdad9c86
UB40,Red Red Wine,https://p.scdn.co/mp3-preview/716dab6c5404d97ebfbc6ef8b0eb90b115966c38?cid=774b29d4f13844c495f206cafdad9c86
Laura Branigan,Gloria,https://p.scdn.co/mp3-preview/c3e63f5c841d9cce67465874a2100c9c88a81cdf?cid=774b29d4f13844c495f206cafdad9c86
The Proclaimers,I'm Gonna Be (500 Miles),https://p.scdn.co/mp3-preview/2919264bff964a01ab401bdb3d15b2a953301ae0?cid=774b29d4f13844c495f206cafdad9c86
Culture Club,Karma Chameleon,https://p.scdn.co/mp3-preview/f3736b3acecd13a8b343e844e56ea03f26e3710f?cid=774b29d4f13844c495f206cafdad9c86
Cutting Crew,(I Just) Died In Your Arms,https://p.scdn.co/mp3-preview/be3ddee73cfec910ba72a81cbbe7a56faee86657?cid=774b29d4f13844c495f206cafdad9c86
George Michael,Careless Whisper,https://p.scdn.co/mp3-preview/ab98c6031a85f245e278159490ccb22dc3440ad7?cid=774b29d4f13844c495f206cafdad9c86
Van Halen,Jump - Remastered Version,https://p.scdn.co/mp3-preview/1272f580e516703bd4c01ebaf441b9a5261ad5d5?cid=774b29d4f13844c495f206cafdad9c86
Starship,We Built This City,https://p.scdn.co/mp3-preview/06ee3eebc448fa3f13144d300ff8828592c00ae9?cid=774b29d4f13844c495f206cafdad9c86
The Pointer Sisters,I'm So Excited,https://p.scdn.co/mp3-preview/df03e2377675391fbc2b9c0100bbd30772ef6905?cid=774b29d4f13844c495f206cafdad9c86
Phil Collins,In The Air Tonight - 2015 Remastered,https://p.scdn.co/mp3-preview/36ca54a4ddb42fac1cecd19684c351f160ed55fa?cid=774b29d4f13844c495f206cafdad9c86
Nena,99 Luftballons,https://p.scdn.co/mp3-preview/c711d77627eec81e5abbff3a8322741efd45657a?cid=774b29d4f13844c495f206cafdad9c86
Tina Turner,The Best - Edit,https://p.scdn.co/mp3-preview/738d50b081e945b2ef2b392e902571b261b92ed1?cid=774b29d4f13844c495f206cafdad9c86
